total,EndMessageEvent,Lane,IntermediateMessageEventCatching,Pool,MessageFlow,TextAnnotation,Association_Undirected,SequenceFlow,Task,CollapsedPool,BPMNDiagram,Exclusive_Databased_Gateway,EndNoneEvent,ParallelGateway,InclusiveGateway,StartMessageEvent,StartNoneEvent,StartTimerEvent,DataObject,IntermediateMessageEventThrowing,Association_Unidirectional,IntermediateTimerEvent,DataStore,ITSystem,EndTerminateEvent,EventbasedGateway,CollapsedSubprocess,IntermediateSignalEventCatching,Subprocess,Message,IntermediateLinkEventCatching,IntermediateErrorEvent,ComplexGateway,StartEscalationEvent,EndEscalationEvent,IntermediateConditionalEvent,IntermediateCompensationEventThrowing,EndCompensationEvent,IntermediateCompensationEventCatching,EventSubprocess,StartCompensationEvent,EndCancelEvent,processparticipant,StartSignalEvent,IntermediateEscalationEvent,StartConditionalEvent,EndErrorEvent,IntermediateLinkEventThrowing,Group,Association_Bidirectional,IntermediateMultipleEventCatching,IntermediateEscalationEventThrowing,IntermediateEvent,StartErrorEvent,StartMultipleEvent,EndSignalEvent,IntermediateSignalEventThrowing,IntermediateCancelEvent,CollapsedEventSubprocess,StartParallelMultipleEvent,VerticalLane,VerticalPool,IntermediateParallelMultipleEventCatching,EndMultipleEvent,IntermediateMultipleEventThrowing,ChoreographyTask,ChoreographyParticipant,ChoreographySubprocessExpanded,ChoreographySubprocessCollapsed,CollapsedVerticalPool,fileName,
14,0,1,0,1,0,0,0,5,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005205313.meta.json,
41,0,5,1,1,0,0,0,14,6,3,1,2,1,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005205836.meta.json,
36,0,6,0,3,1,5,5,4,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005230335.meta.json,
82,1,6,2,6,5,0,0,25,13,0,1,0,5,0,0,4,0,1,0,0,3,2,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005251135.meta.json,
13,0,1,0,1,0,0,0,5,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005540511.meta.json,
133,0,12,5,5,14,18,16,26,30,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005631758.meta.json,
4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005648178.meta.json,
57,0,5,3,2,1,0,0,25,8,0,1,4,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005740445.meta.json,
27,0,0,0,0,0,0,0,12,6,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005869593.meta.json,
71,0,3,2,3,4,9,10,14,12,0,1,1,2,0,0,1,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006208094.meta.json,
29,0,2,0,1,0,2,2,11,3,0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006243522.meta.json,
62,0,2,0,2,7,3,3,20,15,0,1,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006305221.meta.json,
