elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,min,normalized,hasError
36,8,3,1,0,3,4,13,1035516956.meta.json,0,0.875,1
53,12,9,2,2,0,6,19,1035605564.meta.json,0,0.375,1
109,18,15,7,7,5,8,35,1035687371.meta.json,0,0.25,1
27,6,2,1,1,4,0,14,1035719702.meta.json,1,1,0
30,2,6,1,1,2,6,8,1035869279.meta.json,0,0.875,1
22,6,2,1,1,0,2,7,103596521.meta.json,1,1,0
23,6,1,1,0,2,4,9,1035987834.meta.json,0,0.875,1
32,7,4,2,2,2,4,12,1036030251.meta.json,0,0.75,1
54,6,12,3,2,2,6,20,1036031093.meta.json,0,0.375,1
40,8,4,1,1,1,7,13,1036031430.meta.json,0,0.75,1
55,11,8,7,1,3,6,22,1036269641.meta.json,0,0.5,1
10,3,2,1,1,0,0,4,103633474.meta.json,1,1,0
52,12,20,9,6,3,2,19,1036346325.meta.json,0,0.5,1
71,11,13,2,4,3,7,25,1036372461.meta.json,0,0.375,1
88,22,6,1,1,7,4,38,1036482855.meta.json,0,0.75,1
32,8,2,1,1,3,4,14,1036483685.meta.json,1,1,0
42,11,1,1,0,0,12,5,1036565399.meta.json,0,0.625,1
9,3,0,0,0,2,0,3,1036581365.meta.json,0,0.75,1
11,2,2,1,1,0,0,3,1036752251.meta.json,1,1,0
36,3,4,1,2,1,6,7,1036884338.meta.json,0,0.75,1
18,5,3,1,2,1,0,8,1037195195.meta.json,0,0.875,1
89,19,16,5,4,3,6,35,1037263320.meta.json,0,0.25,1
124,20,11,5,6,7,4,34,1037531241.meta.json,0,0.5,1
65,13,10,5,5,1,6,20,1037559497.meta.json,0,0.375,1
104,18,6,4,2,12,10,43,1037584453.meta.json,0,0.375,1
68,17,4,1,2,6,7,27,1037624884.meta.json,0,0.625,1
43,7,7,1,3,4,0,16,1037663561.meta.json,0,0.75,1
68,18,6,1,5,4,7,25,1038050553.meta.json,0,0.625,1
77,15,9,2,3,7,6,31,1038193440.meta.json,0,0.375,1
25,5,2,1,1,1,8,8,1038249596.meta.json,0,0.875,1
54,17,2,1,1,4,6,23,1038278203.meta.json,0,0.75,1
58,12,3,1,2,4,7,20,1038331594.meta.json,0,0.625,1
119,17,3,1,2,11,14,24,1038751209.meta.json,0,0.625,1
65,11,8,4,4,3,6,20,1038896099.meta.json,0,0.375,1
121,20,23,3,5,6,5,52,103911185.meta.json,0,0.25,1
85,11,13,5,5,6,13,28,1039155719.meta.json,0,0.375,1
38,7,3,1,1,3,4,13,1039199550.meta.json,0,0.875,1
39,9,2,0,0,0,8,6,1039561600.meta.json,0,0.5,1
16,3,2,1,1,1,0,6,1039825859.meta.json,1,1,0
92,9,2,1,1,9,0,25,1039833969.meta.json,0,0.875,1
26,6,2,1,1,0,3,7,1039850241.meta.json,1,1,0
33,5,2,1,1,2,4,9,1040078651.meta.json,1,1,0
231,30,11,1,4,40,4,106,1040516350.meta.json,0,0.375,1
36,8,4,1,1,2,4,15,1041173391.meta.json,1,1,0
55,14,2,1,1,3,0,23,1041215828.meta.json,0,0.875,1
133,15,29,3,3,14,6,58,104124934.meta.json,0,0.25,1
7,0,0,0,0,0,6,0,1041470485.meta.json,0,0.625,1
15,3,4,2,2,0,2,5,1041729393.meta.json,0,0.75,1
37,6,3,1,1,2,6,8,1041827841.meta.json,0,0.875,1
15,3,2,1,1,2,0,7,104205939.meta.json,1,1,0
10,2,2,1,1,0,2,3,1042061421.meta.json,1,1,0
58,16,5,2,2,5,4,27,1042142536.meta.json,0,0.625,1
28,6,6,2,2,1,2,12,1042164645.meta.json,0,0.75,1
29,16,5,2,2,0,0,8,104231375.meta.json,0,0.75,1
91,21,2,1,1,12,0,45,1042317506.meta.json,0,0.75,1
49,8,5,2,3,4,5,18,1042442687.meta.json,0,0.5,1
13,5,0,0,0,1,2,4,1042452457.meta.json,0,0.75,1
6,1,2,1,1,0,0,2,1042670141.meta.json,1,1,0
75,13,5,0,1,2,10,16,1043130788.meta.json,0,0.625,1
48,7,6,3,3,2,2,13,1043134396.meta.json,0,0.625,1
33,9,2,1,1,2,2,15,1043204967.meta.json,1,1,0
56,4,15,2,3,3,4,22,1043256737.meta.json,0,0.5,1
11,1,2,1,1,0,3,2,1043349883.meta.json,1,1,0
96,16,7,2,2,10,7,33,1043375091.meta.json,0,0.5,1
140,35,15,6,8,8,4,57,1043382837.meta.json,0,0.25,1
28,6,3,2,1,0,10,4,1043485061.meta.json,0,0.75,1
25,9,11,4,3,0,0,8,1043504737.meta.json,0,0.625,1
65,17,5,2,3,4,4,25,1043716184.meta.json,0,0.625,1
4,0,0,0,0,0,3,0,1043848965.meta.json,0,0.75,1
23,4,4,1,1,2,3,10,1043899903.meta.json,1,1,0
16,3,2,1,1,2,0,8,1043998212.meta.json,1,1,0
44,11,3,1,2,0,0,13,1044157575.meta.json,0,0.75,1
33,5,6,2,2,2,4,12,1044169378.meta.json,0,0.75,1
30,5,2,1,1,0,8,5,1044552043.meta.json,0,0.875,1
31,8,3,3,0,0,5,5,1044592036.meta.json,0,0.625,1
32,9,5,1,3,2,0,15,1044650777.meta.json,0,0.875,1
