elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,
1,1,1,0,0,1,1,1,1042164645.meta.json,
1,1,1,0,0,1,1,1,104231375.meta.json,
0,1,1,1,1,1,1,0,1042317506.meta.json,
0,1,1,0,0,1,0,1,1042442687.meta.json,
1,1,1,0,0,1,1,1,1042452457.meta.json,
1,1,1,1,1,1,1,1,1042670141.meta.json,
0,1,1,0,1,1,0,1,1043130788.meta.json,
0,1,1,0,0,1,1,1,1043134396.meta.json,
1,1,1,1,1,1,1,1,1043204967.meta.json,
0,1,0,0,0,1,1,1,1043256737.meta.json,
1,1,1,1,1,1,1,1,1043349883.meta.json,
0,1,1,0,0,1,0,1,1043375091.meta.json,
0,0,0,0,0,1,1,0,1043382837.meta.json,
1,1,1,0,1,1,0,1,1043485061.meta.json,
1,1,0,0,0,1,1,1,1043504737.meta.json,
0,1,1,0,0,1,1,1,1043716184.meta.json,
1,1,1,0,0,1,1,1,1043848965.meta.json,
1,1,1,1,1,1,1,1,1043899903.meta.json,
1,1,1,1,1,1,1,1,1043998212.meta.json,
0,1,1,1,0,1,1,1,1044157575.meta.json,
1,1,1,0,0,1,1,1,1044169378.meta.json,
1,1,1,1,1,1,0,1,1044552043.meta.json,
1,1,1,0,0,1,0,1,1044592036.meta.json,
1,1,1,1,0,1,1,1,1044650777.meta.json,
1,1,1,0,1,1,1,1,1044784819.meta.json,
0,1,0,0,0,1,0,1,1045043582.meta.json,
0,0,0,0,0,0,0,0,1045098224.meta.json,
1,1,1,1,1,1,1,1,1045162329.meta.json,
0,1,1,1,1,1,1,1,1045183252.meta.json,
1,1,1,1,1,1,1,1,1045235066.meta.json,
1,1,1,1,0,1,1,1,1045384334.meta.json,
0,1,1,1,0,1,1,1,1045697922.meta.json,
0,1,1,1,1,1,0,1,104593713.meta.json,
0,1,0,0,0,1,1,1,1045971312.meta.json,
0,1,0,1,1,1,1,1,104602905.meta.json,
1,1,1,1,0,1,1,1,104604014.meta.json,
0,1,0,1,0,1,1,0,1046046201.meta.json,
0,1,1,1,1,1,0,1,1046048235.meta.json,
1,1,1,1,1,1,1,1,1046079307.meta.json,
0,1,0,0,0,1,0,0,1046093636.meta.json,
1,1,0,0,0,1,1,1,1046351665.meta.json,
1,1,1,0,0,1,1,1,1046376534.meta.json,
1,1,1,1,1,1,1,1,1046379656.meta.json,
1,1,1,1,1,1,1,1,1046427929.meta.json,
0,1,0,0,0,1,0,1,1046431735.meta.json,
0,1,0,0,0,1,1,1,1046454610.meta.json,
